air_temp,azimuth,ghi,period_end,period
17,-7,0,2019-09-01T00:05:00Z,PT5M
17,-8,0,2019-09-01T00:10:00Z,PT5M
17,-9,0,2019-09-01T00:15:00Z,PT5M
17,-11,0,2019-09-01T00:20:00Z,PT5M
17,-12,0,2019-09-01T00:25:00Z,PT5M
16,-14,0,2019-09-01T00:30:00Z,PT5M
16,-15,0,2019-09-01T00:35:00Z,PT5M
16,-16,0,2019-09-01T00:40:00Z,PT5M
16,-18,0,2019-09-01T00:45:00Z,PT5M
16,-19,0,2019-09-01T00:50:00Z,PT5M
16,-21,0,2019-09-01T00:55:00Z,PT5M
16,-22,0,2019-09-01T01:00:00Z,PT5M
16,-23,0,2019-09-01T01:05:00Z,PT5M
16,-25,0,2019-09-01T01:10:00Z,PT5M
16,-26,0,2019-09-01T01:15:00Z,PT5M
16,-27,0,2019-09-01T01:20:00Z,PT5M
16,-29,0,2019-09-01T01:25:00Z,PT5M
16,-30,0,2019-09-01T01:30:00Z,PT5M
16,-31,0,2019-09-01T01:35:00Z,PT5M
16,-32,0,2019-09-01T01:40:00Z,PT5M
16,-34,0,2019-09-01T01:45:00Z,PT5M
16,-35,0,2019-09-01T01:50:00Z,PT5M
16,-36,0,2019-09-01T01:55:00Z,PT5M
16,-38,0,2019-09-01T02:00:00Z,PT5M
16,-39,0,2019-09-01T02:05:00Z,PT5M
16,-40,0,2019-09-01T02:10:00Z,PT5M
16,-41,0,2019-09-01T02:15:00Z,PT5M
16,-42,0,2019-09-01T02:20:00Z,PT5M
16,-44,0,2019-09-01T02:25:00Z,PT5M
16,-45,0,2019-09-01T02:30:00Z,PT5M
16,-46,0,2019-09-01T02:35:00Z,PT5M
16,-47,0,2019-09-01T02:40:00Z,PT5M
16,-48,0,2019-09-01T02:45:00Z,PT5M
16,-49,0,2019-09-01T02:50:00Z,PT5M
16,-50,0,2019-09-01T02:55:00Z,PT5M
16,-52,0,2019-09-01T03:00:00Z,PT5M
16,-53,0,2019-09-01T03:05:00Z,PT5M
16,-54,0,2019-09-01T03:10:00Z,PT5M
16,-55,0,2019-09-01T03:15:00Z,PT5M
16,-56,0,2019-09-01T03:20:00Z,PT5M
16,-57,0,2019-09-01T03:25:00Z,PT5M
16,-58,0,2019-09-01T03:30:00Z,PT5M
16,-59,0,2019-09-01T03:35:00Z,PT5M
16,-60,0,2019-09-01T03:40:00Z,PT5M
16,-61,0,2019-09-01T03:45:00Z,PT5M
16,-62,0,2019-09-01T03:50:00Z,PT5M
16,-63,0,2019-09-01T03:55:00Z,PT5M
16,-64,0,2019-09-01T04:00:00Z,PT5M
16,-65,0,2019-09-01T04:05:00Z,PT5M
16,-66,0,2019-09-01T04:10:00Z,PT5M
16,-67,0,2019-09-01T04:15:00Z,PT5M
16,-68,0,2019-09-01T04:20:00Z,PT5M
16,-69,0,2019-09-01T04:25:00Z,PT5M
16,-70,0,2019-09-01T04:30:00Z,PT5M
16,-71,0,2019-09-01T04:35:00Z,PT5M
16,-72,0,2019-09-01T04:40:00Z,PT5M
16,-73,0,2019-09-01T04:45:00Z,PT5M
16,-74,0,2019-09-01T04:50:00Z,PT5M
16,-75,0,2019-09-01T04:55:00Z,PT5M
16,-76,1,2019-09-01T05:00:00Z,PT5M
16,-77,4,2019-09-01T05:05:00Z,PT5M
16,-78,5,2019-09-01T05:10:00Z,PT5M
16,-79,3,2019-09-01T05:15:00Z,PT5M
16,-80,1,2019-09-01T05:20:00Z,PT5M
16,-81,2,2019-09-01T05:25:00Z,PT5M
16,-82,3,2019-09-01T05:30:00Z,PT5M
16,-83,5,2019-09-01T05:35:00Z,PT5M
16,-84,11,2019-09-01T05:40:00Z,PT5M
16,-85,23,2019-09-01T05:45:00Z,PT5M
16,-86,42,2019-09-01T05:50:00Z,PT5M
16,-87,50,2019-09-01T05:55:00Z,PT5M
16,-88,57,2019-09-01T06:00:00Z,PT5M
16,-89,65,2019-09-01T06:05:00Z,PT5M
16,-90,68,2019-09-01T06:10:00Z,PT5M
16,-91,71,2019-09-01T06:15:00Z,PT5M
16,-92,74,2019-09-01T06:20:00Z,PT5M
16,-93,65,2019-09-01T06:25:00Z,PT5M
16,-94,53,2019-09-01T06:30:00Z,PT5M
16,-95,39,2019-09-01T06:35:00Z,PT5M
16,-96,50,2019-09-01T06:40:00Z,PT5M
16,-97,66,2019-09-01T06:45:00Z,PT5M
16,-98,84,2019-09-01T06:50:00Z,PT5M
16,-99,108,2019-09-01T06:55:00Z,PT5M
16,-100,138,2019-09-01T07:00:00Z,PT5M
16,-101,172,2019-09-01T07:05:00Z,PT5M
16,-102,142,2019-09-01T07:10:00Z,PT5M
16,-103,104,2019-09-01T07:15:00Z,PT5M
16,-104,67,2019-09-01T07:20:00Z,PT5M
16,-105,72,2019-09-01T07:25:00Z,PT5M
16,-106,82,2019-09-01T07:30:00Z,PT5M
16,-107,93,2019-09-01T07:35:00Z,PT5M
17,-108,120,2019-09-01T07:40:00Z,PT5M
17,-109,156,2019-09-01T07:45:00Z,PT5M
17,-110,196,2019-09-01T07:50:00Z,PT5M
17,-111,179,2019-09-01T07:55:00Z,PT5M
17,-113,156,2019-09-01T08:00:00Z,PT5M
17,-114,133,2019-09-01T08:05:00Z,PT5M
17,-115,133,2019-09-01T08:10:00Z,PT5M
17,-116,135,2019-09-01T08:15:00Z,PT5M
17,-117,137,2019-09-01T08:20:00Z,PT5M
17,-118,135,2019-09-01T08:25:00Z,PT5M
17,-120,132,2019-09-01T08:30:00Z,PT5M
17,-121,129,2019-09-01T08:35:00Z,PT5M
17,-122,142,2019-09-01T08:40:00Z,PT5M
17,-123,156,2019-09-01T08:45:00Z,PT5M
17,-125,172,2019-09-01T08:50:00Z,PT5M
17,-126,217,2019-09-01T08:55:00Z,PT5M
17,-127,270,2019-09-01T09:00:00Z,PT5M
17,-129,330,2019-09-01T09:05:00Z,PT5M
17,-130,283,2019-09-01T09:10:00Z,PT5M
17,-131,229,2019-09-01T09:15:00Z,PT5M
17,-133,178,2019-09-01T09:20:00Z,PT5M
17,-134,192,2019-09-01T09:25:00Z,PT5M
17,-136,214,2019-09-01T09:30:00Z,PT5M
17,-137,237,2019-09-01T09:35:00Z,PT5M
18,-138,228,2019-09-01T09:40:00Z,PT5M
18,-140,217,2019-09-01T09:45:00Z,PT5M
18,-141,205,2019-09-01T09:50:00Z,PT5M
18,-143,206,2019-09-01T09:55:00Z,PT5M
18,-145,209,2019-09-01T10:00:00Z,PT5M
18,-146,211,2019-09-01T10:05:00Z,PT5M
18,-148,268,2019-09-01T10:10:00Z,PT5M
18,-149,338,2019-09-01T10:15:00Z,PT5M
18,-151,415,2019-09-01T10:20:00Z,PT5M
18,-153,382,2019-09-01T10:25:00Z,PT5M
18,-154,337,2019-09-01T10:30:00Z,PT5M
18,-156,294,2019-09-01T10:35:00Z,PT5M
18,-158,262,2019-09-01T10:40:00Z,PT5M
18,-159,232,2019-09-01T10:45:00Z,PT5M
18,-161,204,2019-09-01T10:50:00Z,PT5M
19,-163,237,2019-09-01T10:55:00Z,PT5M
19,-165,281,2019-09-01T11:00:00Z,PT5M
19,-167,327,2019-09-01T11:05:00Z,PT5M
19,-168,333,2019-09-01T11:10:00Z,PT5M
19,-170,334,2019-09-01T11:15:00Z,PT5M
19,-172,335,2019-09-01T11:20:00Z,PT5M
19,-174,392,2019-09-01T11:25:00Z,PT5M
19,-176,461,2019-09-01T11:30:00Z,PT5M
19,-177,534,2019-09-01T11:35:00Z,PT5M
19,-179,577,2019-09-01T11:40:00Z,PT5M
19,179,616,2019-09-01T11:45:00Z,PT5M
19,177,657,2019-09-01T11:50:00Z,PT5M
19,175,670,2019-09-01T11:55:00Z,PT5M
20,173,681,2019-09-01T12:00:00Z,PT5M
20,172,691,2019-09-01T12:05:00Z,PT5M
20,170,680,2019-09-01T12:10:00Z,PT5M
20,168,667,2019-09-01T12:15:00Z,PT5M
20,166,653,2019-09-01T12:20:00Z,PT5M
20,164,646,2019-09-01T12:25:00Z,PT5M
20,163,640,2019-09-01T12:30:00Z,PT5M
20,161,633,2019-09-01T12:35:00Z,PT5M
20,159,620,2019-09-01T12:40:00Z,PT5M
20,157,606,2019-09-01T12:45:00Z,PT5M
20,156,592,2019-09-01T12:50:00Z,PT5M
20,154,581,2019-09-01T12:55:00Z,PT5M
20,152,569,2019-09-01T13:00:00Z,PT5M
20,151,558,2019-09-01T13:05:00Z,PT5M
20,149,546,2019-09-01T13:10:00Z,PT5M
20,147,535,2019-09-01T13:15:00Z,PT5M
20,146,523,2019-09-01T13:20:00Z,PT5M
20,144,505,2019-09-01T13:25:00Z,PT5M
20,143,487,2019-09-01T13:30:00Z,PT5M
20,141,469,2019-09-01T13:35:00Z,PT5M
20,140,529,2019-09-01T13:40:00Z,PT5M
20,138,600,2019-09-01T13:45:00Z,PT5M
20,137,631,2019-09-01T13:50:00Z,PT5M
20,135,623,2019-09-01T13:55:00Z,PT5M
20,134,614,2019-09-01T14:00:00Z,PT5M
20,132,605,2019-09-01T14:05:00Z,PT5M
20,131,595,2019-09-01T14:10:00Z,PT5M
20,130,586,2019-09-01T14:15:00Z,PT5M
20,128,576,2019-09-01T14:20:00Z,PT5M
20,127,565,2019-09-01T14:25:00Z,PT5M
20,126,555,2019-09-01T14:30:00Z,PT5M
20,124,544,2019-09-01T14:35:00Z,PT5M
20,123,533,2019-09-01T14:40:00Z,PT5M
